,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric,n_components,covariance_type,init_params,damping,convergence_iter,affinity
44,wine,KMeans,2.0,random,10.0,300.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.024534940719604492,,,,,,,,
45,wine,KMeans,2.0,random,10.0,500.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.026022672653198242,,,,,,,,
46,wine,KMeans,2.0,random,20.0,300.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.04700112342834473,,,,,,,,
47,wine,KMeans,2.0,random,20.0,500.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.046004295349121094,,,,,,,,
48,wine,KMeans,3.0,k-means++,10.0,300.0,0.22430323074864741,0.8685425493202144,0.9549361037947518,0.03700613975524902,,,,,,,,
49,wine,KMeans,3.0,k-means++,10.0,500.0,0.22430323074864741,0.8685425493202144,0.9549361037947518,0.041001081466674805,,,,,,,,
50,wine,KMeans,3.0,k-means++,20.0,300.0,0.22430323074864741,0.8685425493202144,0.9549361037947518,0.05201315879821777,,,,,,,,
51,wine,KMeans,3.0,k-means++,20.0,500.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.06502842903137207,,,,,,,,
52,wine,KMeans,3.0,random,10.0,300.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.030998945236206055,,,,,,,,
53,wine,KMeans,3.0,random,10.0,500.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.036997318267822266,,,,,,,,
54,wine,KMeans,3.0,random,20.0,300.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.0390012264251709,,,,,,,,
55,wine,KMeans,3.0,random,20.0,500.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.0500180721282959,,,,,,,,
56,wine,KMeans,4.0,k-means++,10.0,300.0,0.14417589247969662,0.7293685060548647,0.6732712725270018,0.0399932861328125,,,,,,,,
57,wine,KMeans,4.0,k-means++,10.0,500.0,0.13898756154230127,0.7439369848175861,0.6779939112076614,0.046013593673706055,,,,,,,,
58,wine,KMeans,4.0,k-means++,20.0,300.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.07857656478881836,,,,,,,,
59,wine,KMeans,4.0,k-means++,20.0,500.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.06457304954528809,,,,,,,,
60,wine,KMeans,4.0,random,10.0,300.0,0.1324293322466914,0.7468237720699554,0.6597839990697134,0.035008907318115234,,,,,,,,
61,wine,KMeans,4.0,random,10.0,500.0,0.12005345931417015,0.7503766773376932,0.6754579145632844,0.03602743148803711,,,,,,,,
62,wine,KMeans,4.0,random,20.0,300.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.04657316207885742,,,,,,,,
63,wine,KMeans,4.0,random,20.0,500.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.050577402114868164,,,,,,,,
64,wine,KMeans,5.0,k-means++,10.0,300.0,0.09932701646365812,0.6778553857696824,0.5020321366186028,0.05457901954650879,,,,,,,,
65,wine,KMeans,5.0,k-means++,10.0,500.0,0.09035979185196792,0.675987012475899,0.510145732901738,0.05558371543884277,,,,,,,,
66,wine,KMeans,5.0,k-means++,20.0,300.0,0.09115356193140867,0.6747617769899253,0.507457159339378,0.07758212089538574,,,,,,,,
67,wine,KMeans,5.0,k-means++,20.0,500.0,0.10098618927242858,0.6642734270965317,0.5162199591985489,0.08756017684936523,,,,,,,,
68,wine,KMeans,5.0,random,10.0,300.0,0.06052343286567691,0.6474581769184495,0.47534117849907326,0.04055500030517578,,,,,,,,
69,wine,KMeans,5.0,random,10.0,500.0,0.07062112146825479,0.634893877512826,0.4844001896633475,0.042563438415527344,,,,,,,,
70,wine,KMeans,5.0,random,20.0,300.0,0.0949077062731788,0.6964807262737077,0.5261162079510704,0.050560951232910156,,,,,,,,
71,wine,KMeans,5.0,random,20.0,500.0,0.10711768485136001,0.6512004129384894,0.5013915131269899,0.05700373649597168,,,,,,,,
72,wine,KMeans,6.0,k-means++,10.0,300.0,0.030604970566563836,0.5818139197059196,0.3677074203389992,0.06199145317077637,,,,,,,,
73,wine,KMeans,6.0,k-means++,10.0,500.0,0.04976932021666226,0.5924818280037926,0.39647048015844066,0.05399346351623535,,,,,,,,
74,wine,KMeans,6.0,k-means++,20.0,300.0,0.015450563688527154,0.5823554996536023,0.37873925484544957,0.07199907302856445,,,,,,,,
75,wine,KMeans,6.0,k-means++,20.0,500.0,0.0391508903190739,0.5955062879192107,0.3829104725283528,0.06600093841552734,,,,,,,,
76,wine,KMeans,6.0,random,10.0,300.0,0.055252729910508794,0.6078455472209023,0.39173254835996635,0.04099750518798828,,,,,,,,
77,wine,KMeans,6.0,random,10.0,500.0,0.05833182511501106,0.5643065777980134,0.376470283671095,0.03400897979736328,,,,,,,,
78,wine,KMeans,6.0,random,20.0,300.0,0.021498716951711204,0.569760008580992,0.36073347683967155,0.04398965835571289,,,,,,,,
79,wine,KMeans,6.0,random,20.0,500.0,0.07222848651614823,0.6430340849517874,0.40797676258853954,0.043988704681396484,,,,,,,,
80,iris,AgglomerativeClustering,2.0,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07657933235168457,single,euclidean,,,,,,
81,iris,AgglomerativeClustering,2.0,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07357239723205566,single,manhattan,,,,,,
82,iris,AgglomerativeClustering,2.0,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07456421852111816,average,euclidean,,,,,,
83,iris,AgglomerativeClustering,2.0,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07157158851623535,average,manhattan,,,,,,
84,iris,AgglomerativeClustering,2.0,,,,0.30289640125693884,0.2234197189738486,0.46270797475616754,0.06957292556762695,complete,euclidean,,,,,,
85,iris,AgglomerativeClustering,2.0,,,,0.5110836145448053,0.4219886317147244,0.5281762295081968,0.06857776641845703,complete,manhattan,,,,,,
86,iris,AgglomerativeClustering,3.0,,,,0.5523297227569341,0.5583714437541352,0.5521885521885522,0.0655665397644043,single,euclidean,,,,,,
87,iris,AgglomerativeClustering,3.0,,,,0.5118387098922373,0.5637510205230709,0.5841995841995842,0.06257820129394531,single,manhattan,,,,,,
88,iris,AgglomerativeClustering,3.0,,,,0.5473331031975502,0.7195837484778036,0.8832938591974737,0.061573028564453125,average,euclidean,,,,,,
89,iris,AgglomerativeClustering,3.0,,,,0.544780960746366,0.6736713703529151,0.8535411653938696,0.05957460403442383,average,manhattan,,,,,,
90,iris,AgglomerativeClustering,3.0,,,,0.5454506912996638,0.7060059674676762,0.8768472906403941,0.05657768249511719,complete,euclidean,,,,,,
91,iris,AgglomerativeClustering,3.0,,,,0.5059646992180071,0.6422512518362898,0.8318621269440941,0.05256795883178711,complete,manhattan,,,,,,
92,iris,AgglomerativeClustering,4.0,,,,0.37859863990699355,0.553879094828854,0.4356244356244356,0.04856061935424805,single,euclidean,,,,,,
93,iris,AgglomerativeClustering,4.0,,,,0.28177774044073334,0.5617321312902849,0.43929879644165354,0.04357504844665527,single,manhattan,,,,,,
94,iris,AgglomerativeClustering,4.0,,,,0.4225965495287504,0.7088753278732401,0.6599451418728527,0.04056525230407715,average,euclidean,,,,,,
95,iris,AgglomerativeClustering,4.0,,,,0.4926153647807134,0.6565248376603987,0.6276642018268812,0.04155445098876953,average,manhattan,,,,,,
96,iris,AgglomerativeClustering,4.0,,,,0.3973512160928483,0.5781289744177803,0.6064306487031871,0.010992765426635742,complete,euclidean,,,,,,
97,iris,AgglomerativeClustering,4.0,,,,0.48975248401756044,0.5914870916917886,0.5942480942480942,0.011002302169799805,complete,manhattan,,,,,,
98,iris,AgglomerativeClustering,5.0,,,,0.15814155051220588,0.551796444741071,0.34941883513312083,0.01200103759765625,single,euclidean,,,,,,
99,iris,AgglomerativeClustering,5.0,,,,0.15814155051220588,0.551796444741071,0.34941883513312083,0.011011838912963867,single,manhattan,,,,,,
100,iris,AgglomerativeClustering,5.0,,,,0.36728038518275785,0.6842486635768289,0.5213016568438256,0.01301717758178711,average,euclidean,,,,,,
101,iris,AgglomerativeClustering,5.0,,,,0.36691915223281163,0.6456604004718953,0.500111159441303,0.013008594512939453,average,manhattan,,,,,,
102,iris,AgglomerativeClustering,5.0,,,,0.3345120960717713,0.5041716687577664,0.4528878624806641,0.012002229690551758,complete,euclidean,,,,,,
103,iris,AgglomerativeClustering,5.0,,,,0.3580331085666874,0.44483876677848727,0.42539847539847536,0.012003183364868164,complete,manhattan,,,,,,
104,iris,AgglomerativeClustering,6.0,,,,0.09563890332351216,0.5498939490241168,0.2919589289452303,0.010992288589477539,single,euclidean,,,,,,
105,iris,AgglomerativeClustering,6.0,,,,0.09563890332351216,0.5498939490241168,0.2919589289452303,0.011987686157226562,single,manhattan,,,,,,
106,iris,AgglomerativeClustering,6.0,,,,0.3229363153274025,0.6638049639535524,0.42688792688792687,0.01199197769165039,average,euclidean,,,,,,
107,iris,AgglomerativeClustering,6.0,,,,0.3559539919883123,0.5929846210890088,0.39157236525657574,0.012995719909667969,average,manhattan,,,,,,
108,iris,AgglomerativeClustering,6.0,,,,0.33328023659007017,0.4415520259458531,0.3469107921194053,0.013994932174682617,complete,euclidean,,,,,,
109,iris,AgglomerativeClustering,6.0,,,,0.32483839277024357,0.497842495202543,0.36488260735248684,0.011999845504760742,complete,manhattan,,,,,,
110,wine,AgglomerativeClustering,2.0,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.013005733489990234,single,euclidean,,,,,,
111,wine,AgglomerativeClustering,2.0,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.012528657913208008,single,manhattan,,,,,,
112,wine,AgglomerativeClustering,2.0,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.012542247772216797,average,euclidean,,,,,,
113,wine,AgglomerativeClustering,2.0,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.013541936874389648,average,manhattan,,,,,,
114,wine,AgglomerativeClustering,2.0,,,,0.5635523841748998,0.5499067956270987,0.5674931129476585,0.014545679092407227,complete,euclidean,,,,,,
115,wine,AgglomerativeClustering,2.0,,,,0.5635523841748998,0.5499067956270987,0.5674931129476585,0.014541149139404297,complete,manhattan,,,,,,
116,wine,AgglomerativeClustering,3.0,,,,-0.5556451685862803,-0.00381934509398756,0.1862348178137652,0.013530254364013672,single,euclidean,,,,,,
117,wine,AgglomerativeClustering,3.0,,,,-0.32880972297536026,-0.00381934509398756,0.1862348178137652,0.013008832931518555,single,manhattan,,,,,,
118,wine,AgglomerativeClustering,3.0,,,,-0.32880972297536026,-0.00381934509398756,0.1862348178137652,0.012999773025512695,average,euclidean,,,,,,
119,wine,AgglomerativeClustering,3.0,,,,-0.22974614319939538,0.4363836560895574,0.5229700854700855,0.011996030807495117,average,manhattan,,,,,,
120,wine,AgglomerativeClustering,3.0,,,,0.15350845415940764,0.8101984932408013,0.9309907264452719,0.01300501823425293,complete,euclidean,,,,,,
121,wine,AgglomerativeClustering,3.0,,,,0.16575269836340226,0.837371015547774,0.9435259650002324,0.013999462127685547,complete,manhattan,,,,,,
122,wine,AgglomerativeClustering,4.0,,,,-0.6206536571843563,-0.00833643249031321,0.13524590163934427,0.014008045196533203,single,euclidean,,,,,,
123,wine,AgglomerativeClustering,4.0,,,,-0.4788925978795601,-0.005567074338188896,0.13821138211382114,0.011999130249023438,single,manhattan,,,,,,
124,wine,AgglomerativeClustering,4.0,,,,-0.30155700298017457,0.454402932137837,0.402572215984485,0.013998985290527344,average,euclidean,,,,,,
125,wine,AgglomerativeClustering,4.0,,,,-0.3474342858085119,0.4334442249863341,0.3904550946435763,0.012990474700927734,average,manhattan,,,,,,
126,wine,AgglomerativeClustering,4.0,,,,0.05974753816878277,0.8214459503186963,0.7001369842278933,0.013003826141357422,complete,euclidean,,,,,,
127,wine,AgglomerativeClustering,4.0,,,,0.09356586228606188,0.689184067176388,0.6299660232557954,0.017011404037475586,complete,manhattan,,,,,,
128,wine,AgglomerativeClustering,5.0,,,,-0.6612452074591757,-0.009744057780847176,0.10699588477366255,0.01200723648071289,single,euclidean,,,,,,
129,wine,AgglomerativeClustering,5.0,,,,-0.7017168599180396,-0.007204211744715499,0.10938775510204082,0.01801013946533203,single,manhattan,,,,,,
130,wine,AgglomerativeClustering,5.0,,,,-0.2940265713906083,0.4457884413763676,0.3381588015362007,0.015015602111816406,average,euclidean,,,,,,
131,wine,AgglomerativeClustering,5.0,,,,-0.15619246803678163,0.8211051602615367,0.5628205128205128,0.013014554977416992,average,manhattan,,,,,,
132,wine,AgglomerativeClustering,5.0,,,,0.05108342664739985,0.8274459434292951,0.5616199892061962,0.013007402420043945,complete,euclidean,,,,,,
133,wine,AgglomerativeClustering,5.0,,,,-0.06172512007697906,0.6968281165812061,0.5055981629572533,0.015002965927124023,complete,manhattan,,,,,,
134,wine,AgglomerativeClustering,6.0,,,,-0.7109513254452747,-0.011035018514226185,0.0881542699724518,0.012992382049560547,single,euclidean,,,,,,
135,wine,AgglomerativeClustering,6.0,,,,-0.7109513254452747,-0.011035018514226185,0.0881542699724518,0.013987064361572266,single,manhattan,,,,,,
136,wine,AgglomerativeClustering,6.0,,,,-0.4265078438625492,0.4362944540852922,0.28857457174288853,0.011993885040283203,average,euclidean,,,,,,
137,wine,AgglomerativeClustering,6.0,,,,-0.2551487158527933,0.8092444088518341,0.46549773755656104,0.013988494873046875,average,manhattan,,,,,,
138,wine,AgglomerativeClustering,6.0,,,,-0.03404528185367141,0.8157602765854675,0.463900923219017,0.012995243072509766,complete,euclidean,,,,,,
139,wine,AgglomerativeClustering,6.0,,,,-0.22949790695086228,0.6836556176476968,0.41756982018910205,0.013992547988891602,complete,manhattan,,,,,,
140,iris,Ward,2.0,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.009529352188110352,ward,euclidean,,,,,,
141,iris,Ward,3.0,,,,0.5473331031975502,0.7195837484778036,0.8832938591974737,0.00952768325805664,ward,euclidean,,,,,,
142,iris,Ward,4.0,,,,0.4724889753441359,0.6454234140112601,0.6187951807228916,0.009523868560791016,ward,euclidean,,,,,,
143,iris,Ward,5.0,,,,0.3422768612601816,0.4999186811562061,0.4481225643313997,0.00951838493347168,ward,euclidean,,,,,,
144,iris,Ward,6.0,,,,0.32184953090204743,0.4363200443368152,0.3427572016460905,0.00951838493347168,ward,euclidean,,,,,,
145,wine,Ward,2.0,,,,-0.01995028146829496,0.4847385885049859,0.5576863911393702,0.012003421783447266,ward,euclidean,,,,,,
146,wine,Ward,3.0,,,,0.1914657607128426,0.9310001175059304,0.9780604811132806,0.011003732681274414,ward,euclidean,,,,,,
147,wine,Ward,4.0,,,,0.10167484800840475,0.7697432844874517,0.6786218023902753,0.01198577880859375,ward,euclidean,,,,,,
148,wine,Ward,5.0,,,,0.04167676895193962,0.6837934061868676,0.4938145176032561,0.012993812561035156,ward,euclidean,,,,,,
149,wine,Ward,6.0,,,,0.01898055990854086,0.6550927069671628,0.4023639237169245,0.012996435165405273,ward,euclidean,,,,,,
150,iris,GaussianMixture,,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.04106020927429199,,,2.0,full,kmeans,,,
151,iris,GaussianMixture,,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.04905557632446289,,,2.0,full,random,,,
152,iris,GaussianMixture,,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.04204964637756348,,,2.0,tied,kmeans,,,
153,iris,GaussianMixture,,,,,0.0839754853624649,0.07690604403111294,0.3831236897274633,0.04004931449890137,,,2.0,tied,random,,,
154,iris,GaussianMixture,,,,,0.5009470350205055,0.9038742317748124,0.9665831244778612,0.041062116622924805,,,3.0,full,kmeans,,,
155,iris,GaussianMixture,,,,,0.36032312755394713,0.5432002171587335,0.7519636213311286,0.04006838798522949,,,3.0,full,random,,,
156,iris,GaussianMixture,,,,,0.4993963743757241,0.9037141640512019,0.9666633329999667,0.03806447982788086,,,3.0,tied,kmeans,,,
157,iris,GaussianMixture,,,,,0.060222940520954525,0.18236770490536258,0.5444906709543429,0.034038543701171875,,,3.0,tied,random,,,
158,iris,GaussianMixture,,,,,0.40883680698069097,0.8028146695161698,0.6831701807228916,0.04003739356994629,,,4.0,full,kmeans,,,
159,iris,GaussianMixture,,,,,0.06616089429008823,0.48946415405449895,0.5701521998857202,0.03803515434265137,,,4.0,full,random,,,
160,iris,GaussianMixture,,,,,0.41727244246122497,0.8217512295310416,0.6633206728160608,0.03504824638366699,,,4.0,tied,kmeans,,,
161,iris,GaussianMixture,,,,,-0.01275101826192131,0.2905517038658801,0.4403248587570621,0.02704167366027832,,,4.0,tied,random,,,
162,wine,GaussianMixture,,,,,0.015337484499043088,0.43943910439476336,0.5253088880031885,0.02600550651550293,,,2.0,full,kmeans,,,
163,wine,GaussianMixture,,,,,0.10118122172235365,0.36486061144029214,0.5050505050505051,0.023003578186035156,,,2.0,full,random,,,
164,wine,GaussianMixture,,,,,0.006867835241707796,0.45356971295105997,0.5359477124183006,0.018001079559326172,,,2.0,tied,kmeans,,,
165,wine,GaussianMixture,,,,,-0.043240707713685274,0.02964748595345624,0.331988850631251,0.014998197555541992,,,2.0,tied,random,,,
166,wine,GaussianMixture,,,,,0.1814150373485981,0.8961288077970022,0.9675624348099895,0.018990039825439453,,,3.0,full,kmeans,,,
167,wine,GaussianMixture,,,,,-0.05450102959561943,0.20053525090911842,0.48617761993864644,0.021997451782226562,,,3.0,full,random,,,
168,wine,GaussianMixture,,,,,0.2194566532062476,0.8837096104912531,0.960658843662144,0.017005443572998047,,,3.0,tied,kmeans,,,
169,wine,GaussianMixture,,,,,0.042998905543262404,0.2043613499744254,0.5930018974779557,0.017012596130371094,,,3.0,tied,random,,,
170,wine,GaussianMixture,,,,,0.11794497274859714,0.7436079272720726,0.6696003401360544,0.023021459579467773,,,4.0,full,kmeans,,,
171,wine,GaussianMixture,,,,,-0.23439707214085423,0.14785793591266894,0.3156108184193316,0.020020723342895508,,,4.0,full,random,,,
172,wine,GaussianMixture,,,,,0.1322266568089897,0.7991000111570759,0.6896551724137931,0.018012523651123047,,,4.0,tied,kmeans,,,
173,wine,GaussianMixture,,,,,-0.21266846919882806,0.09734131749086712,0.3851245611808992,0.011037588119506836,,,4.0,tied,random,,,
174,iris,AffinityPropagation,,,,300.0,0.3395328142745801,0.4926199654312437,0.3741027849554981,0.02599787712097168,,,,,,0.5,10.0,euclidean
175,iris,AffinityPropagation,,,,300.0,0.24012313509624078,0.3189332746120559,0.13764978982370285,0.03099989891052246,,,,,,0.5,10.0,precomputed
176,iris,AffinityPropagation,,,,300.0,0.3395328142745801,0.4926199654312437,0.3741027849554981,0.024998903274536133,,,,,,0.5,20.0,euclidean
177,iris,AffinityPropagation,,,,300.0,0.24012313509624078,0.3189332746120559,0.13764978982370285,0.03899812698364258,,,,,,0.5,20.0,precomputed
178,iris,AffinityPropagation,,,,500.0,0.3395328142745801,0.4926199654312437,0.3741027849554981,0.030010223388671875,,,,,,0.5,10.0,euclidean
179,iris,AffinityPropagation,,,,500.0,0.24012313509624078,0.3189332746120559,0.13764978982370285,0.04400324821472168,,,,,,0.5,10.0,precomputed
180,iris,AffinityPropagation,,,,500.0,0.3395328142745801,0.4926199654312437,0.3741027849554981,0.043015480041503906,,,,,,0.5,20.0,euclidean
181,iris,AffinityPropagation,,,,500.0,0.24012313509624078,0.3189332746120559,0.13764978982370285,0.04800057411193848,,,,,,0.5,20.0,precomputed
182,iris,AffinityPropagation,,,,300.0,0.3478373708091269,0.47433369975682804,0.3632001073861539,0.036995649337768555,,,,,,0.7,10.0,euclidean
183,iris,AffinityPropagation,,,,300.0,0.2351498578147718,0.28476962206987205,0.11447881828316611,0.03699898719787598,,,,,,0.7,10.0,precomputed
184,iris,AffinityPropagation,,,,300.0,0.3478373708091269,0.47433369975682804,0.3632001073861539,0.034989356994628906,,,,,,0.7,20.0,euclidean
185,iris,AffinityPropagation,,,,300.0,0.2538512570702209,0.29888923471317225,0.12796442687747037,0.04299569129943848,,,,,,0.7,20.0,precomputed
186,iris,AffinityPropagation,,,,500.0,0.3478373708091269,0.47433369975682804,0.3632001073861539,0.036986351013183594,,,,,,0.7,10.0,euclidean
187,iris,AffinityPropagation,,,,500.0,0.2351498578147718,0.28476962206987205,0.11447881828316611,0.03299832344055176,,,,,,0.7,10.0,precomputed
188,iris,AffinityPropagation,,,,500.0,0.3478373708091269,0.47433369975682804,0.3632001073861539,0.03100275993347168,,,,,,0.7,20.0,euclidean
189,iris,AffinityPropagation,,,,500.0,0.2538512570702209,0.29888923471317225,0.12796442687747037,0.03551197052001953,,,,,,0.7,20.0,precomputed
190,wine,AffinityPropagation,,,,300.0,-0.15258503993981182,0.3554255380034677,0.1682001836547291,0.02398395538330078,,,,,,0.5,10.0,euclidean
191,wine,AffinityPropagation,,,,300.0,-0.34218962008626014,0.21146838202106086,0.07679714956172957,0.02300405502319336,,,,,,0.5,10.0,precomputed
192,wine,AffinityPropagation,,,,300.0,-0.15258503993981182,0.3554255380034677,0.1682001836547291,0.032050132751464844,,,,,,0.5,20.0,euclidean
193,wine,AffinityPropagation,,,,300.0,-0.34218962008626014,0.21146838202106086,0.07679714956172957,0.0300443172454834,,,,,,0.5,20.0,precomputed
194,wine,AffinityPropagation,,,,500.0,-0.15258503993981182,0.3554255380034677,0.1682001836547291,0.030012845993041992,,,,,,0.5,10.0,euclidean
