,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric,n_components,covariance_type,init_params,damping,convergence_iter,affinity
195,wine,AffinityPropagation,,,,500.0,-0.34218962008626014,0.21146838202106086,0.07679714956172957,0.03298640251159668,,,,,,0.5,10.0,precomputed
196,wine,AffinityPropagation,,,,500.0,-0.15258503993981182,0.3554255380034677,0.1682001836547291,0.04202103614807129,,,,,,0.5,20.0,euclidean
197,wine,AffinityPropagation,,,,500.0,-0.34218962008626014,0.21146838202106086,0.07679714956172957,0.037995100021362305,,,,,,0.5,20.0,precomputed
198,wine,AffinityPropagation,,,,300.0,-0.18129720110130385,0.33619179890738304,0.15521336371138741,0.0400083065032959,,,,,,0.7,10.0,euclidean
199,wine,AffinityPropagation,,,,300.0,-0.32985264315855256,0.19219428770918096,0.06821533590366377,0.03901195526123047,,,,,,0.7,10.0,precomputed
200,wine,AffinityPropagation,,,,300.0,-0.18129720110130385,0.33619179890738304,0.15521336371138741,0.04552650451660156,,,,,,0.7,20.0,euclidean
201,wine,AffinityPropagation,,,,300.0,-0.32985264315855256,0.19219428770918096,0.06821533590366377,0.04454445838928223,,,,,,0.7,20.0,precomputed
202,wine,AffinityPropagation,,,,500.0,-0.18129720110130385,0.33619179890738304,0.15521336371138741,0.040505409240722656,,,,,,0.7,10.0,euclidean
203,wine,AffinityPropagation,,,,500.0,-0.32985264315855256,0.19219428770918096,0.06821533590366377,0.03954362869262695,,,,,,0.7,10.0,precomputed
204,wine,AffinityPropagation,,,,500.0,-0.18129720110130385,0.33619179890738304,0.15521336371138741,0.0395200252532959,,,,,,0.7,20.0,euclidean
205,wine,AffinityPropagation,,,,500.0,-0.32985264315855256,0.19219428770918096,0.06821533590366377,0.030538320541381836,,,,,,0.7,20.0,precomputed
