,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric
34,iris,KMeans,6,k-means++,20.0,300.0,0.3428858501277214,0.41942265669925244,0.3183766398869374,0.05855917930603027,,
35,iris,KMeans,6,k-means++,20.0,500.0,0.3428858501277214,0.41942265669925244,0.3183766398869374,0.05655264854431152,,
36,iris,KMeans,6,random,10.0,300.0,0.3364504247664398,0.42043466977474137,0.3231972335903049,0.03357744216918945,,
37,iris,KMeans,6,random,10.0,500.0,0.3364504247664398,0.42043466977474137,0.3231972335903049,0.03057718276977539,,
38,iris,KMeans,6,random,20.0,300.0,0.3350806744818513,0.4182397330051214,0.3197465779657362,0.04055047035217285,,
39,iris,KMeans,6,random,20.0,500.0,0.3350806744818513,0.4182397330051214,0.3197465779657362,0.03555154800415039,,
40,wine,KMeans,2,k-means++,10.0,300.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.03927350044250488,,
41,wine,KMeans,2,k-means++,10.0,500.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.04225420951843262,,
42,wine,KMeans,2,k-means++,20.0,300.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.057256221771240234,,
43,wine,KMeans,2,k-means++,20.0,500.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.06825041770935059,,
44,wine,KMeans,2,random,10.0,300.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.0412449836730957,,
45,wine,KMeans,2,random,10.0,500.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.044251441955566406,,
46,wine,KMeans,2,random,20.0,300.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.057250022888183594,,
47,wine,KMeans,2,random,20.0,500.0,0.12647778841733565,0.3702270932278303,0.5067153827937346,0.047002315521240234,,
48,wine,KMeans,3,k-means++,10.0,300.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.041007280349731445,,
49,wine,KMeans,3,k-means++,10.0,500.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.0390009880065918,,
50,wine,KMeans,3,k-means++,20.0,300.0,0.22430323074864741,0.8685425493202144,0.9549361037947518,0.06402277946472168,,
51,wine,KMeans,3,k-means++,20.0,500.0,0.22430323074864741,0.8685425493202144,0.9549361037947518,0.05903911590576172,,
52,wine,KMeans,3,random,10.0,300.0,0.22242172101151633,0.8368448733145885,0.9440672950820671,0.035004615783691406,,
53,wine,KMeans,3,random,10.0,500.0,0.22242172101151633,0.8368448733145885,0.9440672950820671,0.03501248359680176,,
54,wine,KMeans,3,random,20.0,300.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.049027204513549805,,
55,wine,KMeans,3,random,20.0,500.0,0.2205587270898549,0.8536602842727952,0.9492343317841528,0.05655407905578613,,
56,wine,KMeans,4,k-means++,10.0,300.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.04302334785461426,,
57,wine,KMeans,4,k-means++,10.0,500.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.04403424263000488,,
58,wine,KMeans,4,k-means++,20.0,300.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.07454562187194824,,
59,wine,KMeans,4,k-means++,20.0,500.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.07555127143859863,,
60,wine,KMeans,4,random,10.0,300.0,0.11838810819191091,0.738104668250348,0.666141651798989,0.046555519104003906,,
61,wine,KMeans,4,random,10.0,500.0,0.11838810819191091,0.738104668250348,0.666141651798989,0.04054880142211914,,
62,wine,KMeans,4,random,20.0,300.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.05254840850830078,,
63,wine,KMeans,4,random,20.0,500.0,0.136732057813413,0.7509168592139368,0.677430377185199,0.06053972244262695,,
64,wine,KMeans,5,k-means++,10.0,300.0,0.06399719973570397,0.643169915364281,0.4776205286463984,0.05854940414428711,,
65,wine,KMeans,5,k-means++,10.0,500.0,0.06399719973570397,0.643169915364281,0.4776205286463984,0.04754924774169922,,
66,wine,KMeans,5,k-means++,20.0,300.0,0.08617559433734044,0.6480323433969253,0.4849648754675669,0.07853388786315918,,
67,wine,KMeans,5,k-means++,20.0,500.0,0.08617559433734044,0.6480323433969253,0.4849648754675669,0.08052825927734375,,
68,wine,KMeans,5,random,10.0,300.0,0.06779253263931527,0.6267814841686616,0.48195488721804514,0.04501056671142578,,
69,wine,KMeans,5,random,10.0,500.0,0.06779253263931527,0.6267814841686616,0.48195488721804514,0.03901267051696777,,
70,wine,KMeans,5,random,20.0,300.0,0.06272065300592548,0.6623246417702267,0.486566474941761,0.05700540542602539,,
71,wine,KMeans,5,random,20.0,500.0,0.06272065300592548,0.6623246417702267,0.486566474941761,0.05701756477355957,,
72,wine,KMeans,6,k-means++,10.0,300.0,0.047685817705363405,0.5445753490440028,0.3726620900076278,0.05999875068664551,,
73,wine,KMeans,6,k-means++,10.0,500.0,0.047685817705363405,0.5445753490440028,0.3726620900076278,0.05798840522766113,,
74,wine,KMeans,6,k-means++,20.0,300.0,0.047685817705363405,0.5445753490440028,0.3726620900076278,0.07501530647277832,,
75,wine,KMeans,6,k-means++,20.0,500.0,0.047685817705363405,0.5445753490440028,0.3726620900076278,0.07753777503967285,,
76,wine,KMeans,6,random,10.0,300.0,0.05085345492192191,0.5895204283305725,0.38426877470355736,0.03902268409729004,,
77,wine,KMeans,6,random,10.0,500.0,0.05085345492192191,0.5895204283305725,0.38426877470355736,0.03800654411315918,,
78,wine,KMeans,6,random,20.0,300.0,0.02732929174738967,0.5720274684506416,0.3694130474994402,0.04899883270263672,,
79,wine,KMeans,6,random,20.0,500.0,0.02732929174738967,0.5720274684506416,0.3694130474994402,0.04801225662231445,,
80,iris,AgglomerativeClustering,2,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07557559013366699,single,euclidean
81,iris,AgglomerativeClustering,2,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07357954978942871,single,manhattan
82,iris,AgglomerativeClustering,2,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07157087326049805,average,euclidean
83,iris,AgglomerativeClustering,2,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.07058072090148926,average,manhattan
84,iris,AgglomerativeClustering,2,,,,0.30289640125693884,0.2234197189738486,0.46270797475616754,0.06857895851135254,complete,euclidean
85,iris,AgglomerativeClustering,2,,,,0.5110836145448053,0.4219886317147244,0.5281762295081968,0.06657719612121582,complete,manhattan
86,iris,AgglomerativeClustering,3,,,,0.5523297227569341,0.5583714437541352,0.5521885521885522,0.06557512283325195,single,euclidean
87,iris,AgglomerativeClustering,3,,,,0.5118387098922373,0.5637510205230709,0.5841995841995842,0.06356096267700195,single,manhattan
88,iris,AgglomerativeClustering,3,,,,0.5473331031975502,0.7195837484778036,0.8832938591974737,0.06056714057922363,average,euclidean
89,iris,AgglomerativeClustering,3,,,,0.544780960746366,0.6736713703529151,0.8535411653938696,0.058563232421875,average,manhattan
90,iris,AgglomerativeClustering,3,,,,0.5454506912996638,0.7060059674676762,0.8768472906403941,0.0545654296875,complete,euclidean
91,iris,AgglomerativeClustering,3,,,,0.5059646992180071,0.6422512518362898,0.8318621269440941,0.05357193946838379,complete,manhattan
92,iris,AgglomerativeClustering,4,,,,0.37859863990699355,0.553879094828854,0.4356244356244356,0.04956221580505371,single,euclidean
93,iris,AgglomerativeClustering,4,,,,0.28177774044073334,0.5617321312902849,0.43929879644165354,0.046569108963012695,single,manhattan
94,iris,AgglomerativeClustering,4,,,,0.4225965495287504,0.7088753278732401,0.6599451418728527,0.04456448554992676,average,euclidean
95,iris,AgglomerativeClustering,4,,,,0.4926153647807134,0.6565248376603987,0.6276642018268812,0.04255843162536621,average,manhattan
96,iris,AgglomerativeClustering,4,,,,0.3973512160928483,0.5781289744177803,0.6064306487031871,0.012986898422241211,complete,euclidean
97,iris,AgglomerativeClustering,4,,,,0.48975248401756044,0.5914870916917886,0.5942480942480942,0.01600170135498047,complete,manhattan
